"country","publication_year","oa_status","works","n_citations","max_citations","min_citations","med_citations","avg_citations"
"au",2021,"bronze",6349,224077,5090,0,11,35.2932745314223
"au",2021,"closed",28360,614158,2734,0,8,21.6557827926657
"au",2021,"diamond",2873,34332,1043,0,4,11.9498781761225
"au",2021,"gold",14540,457499,2510,0,16,31.4648555708391
"au",2021,"green",9593,322602,9888,0,12,33.6288960700511
"au",2021,"hybrid",4776,230987,5419,0,19,48.3641122278057
"au",2022,"bronze",3677,100265,3064,0,7,27.2681533859124
"au",2022,"closed",23661,391754,2300,0,6,16.556950255695
"au",2022,"diamond",3089,36771,3214,0,3,11.9038523794108
"au",2022,"gold",14988,339731,6286,0,12,22.6668668267948
"au",2022,"green",6992,178770,3714,0,9,25.5677917620137
"au",2022,"hybrid",9685,261179,1958,0,12,26.9673722250903
"au",2023,"bronze",5256,61865,2287,0,2,11.7703576864536
"au",2023,"closed",18172,223093,1159,0,4,12.2767444419987
"au",2023,"diamond",3704,30921,523,0,2,8.34800215982721
"au",2023,"gold",13858,229449,2889,0,8,16.5571511040554
"au",2023,"green",4155,88181,1359,0,7,21.2228640192539
"au",2023,"hybrid",15551,282469,2957,0,9,18.1640408976915
"au",2024,"bronze",4912,31827,902,0,2,6.47943811074919
"au",2024,"closed",17494,132077,1578,0,2,7.54984566136961
"au",2024,"diamond",3974,20732,205,0,2,5.21690991444389
"au",2024,"gold",13549,137481,1023,0,5,10.146948114252
"au",2024,"green",3238,54711,985,0,5,16.8965410747375
"au",2024,"hybrid",17064,191800,3123,0,5,11.2400375058603
"au",2025,"bronze",3533,8369,264,0,0,2.36880837814888
"au",2025,"closed",18412,53880,873,0,0,2.92635237888334
"au",2025,"diamond",4005,9135,339,0,0,2.28089887640449
"au",2025,"gold",13860,49218,596,0,2,3.55108225108225
"au",2025,"green",3185,17529,1381,0,1,5.50361067503925
"au",2025,"hybrid",17854,72352,988,0,2,4.05242522683992
"au",2026,"bronze",715,224,18,0,0,0.313286713286713
"au",2026,"closed",9590,3360,51,0,0,0.35036496350365
"au",2026,"diamond",1971,531,59,0,0,0.269406392694064
"au",2026,"gold",7553,3202,353,0,0,0.423937508274858
"au",2026,"green",2747,1621,705,0,0,0.590098289042592
"au",2026,"hybrid",10473,4022,79,0,0,0.384035137973837
"nz",2021,"bronze",1150,28760,1653,0,9,25.0086956521739
"nz",2021,"closed",8036,119572,965,0,6,14.8795420607267
"nz",2021,"diamond",1089,7415,148,0,2,6.80899908172635
"nz",2021,"gold",3176,70839,921,0,13,22.3044710327456
"nz",2021,"green",2038,42065,894,0,8,20.6403336604514
"nz",2021,"hybrid",1095,51304,7690,0,15,46.8529680365297
"nz",2022,"bronze",740,12079,505,0,5,16.322972972973
"nz",2022,"closed",6361,78402,5222,0,4,12.325420531363
"nz",2022,"diamond",1202,7945,559,0,2,6.60981697171381
"nz",2022,"gold",3240,59695,1245,0,10,18.4243827160494
"nz",2022,"green",1745,29413,2527,0,5,16.8555873925501
"nz",2022,"hybrid",2306,44904,2497,0,9,19.4726799653079
"nz",2023,"bronze",1035,8178,312,0,2,7.90144927536232
"nz",2023,"closed",5154,41802,509,0,2,8.11059371362049
"nz",2023,"diamond",1315,6509,287,0,2,4.94980988593156
"nz",2023,"gold",2965,42889,1169,0,7,14.4650927487352
"nz",2023,"green",1172,13910,654,0,3,11.8686006825939
"nz",2023,"hybrid",3563,51091,3789,0,6,14.3393207970811
"nz",2024,"bronze",1233,6661,479,0,2,5.40227088402271
"nz",2024,"closed",4857,24744,635,0,1,5.09450277949351
"nz",2024,"diamond",1250,4402,138,0,1,3.5216
"nz",2024,"gold",2778,27136,3774,0,4,9.76817854571634
"nz",2024,"green",961,7217,254,0,1,7.5098855359001
"nz",2024,"hybrid",3706,31757,334,0,4,8.56907717215326
"nz",2025,"bronze",848,1777,286,0,0,2.09551886792453
"nz",2025,"closed",5283,10052,252,0,0,1.90270679538141
"nz",2025,"diamond",1125,1281,45,0,0,1.13866666666667
"nz",2025,"gold",2756,7811,118,0,1,2.83417997097242
"nz",2025,"green",932,2100,156,0,0,2.25321888412017
"nz",2025,"hybrid",3961,12924,606,0,1,3.26281242110578
"nz",2026,"bronze",197,52,11,0,0,0.263959390862944
"nz",2026,"closed",2354,616,15,0,0,0.261682242990654
"nz",2026,"diamond",579,88,7,0,0,0.151986183074266
"nz",2026,"gold",1543,481,13,0,0,0.311730395333765
"nz",2026,"green",645,301,62,0,0,0.466666666666667
"nz",2026,"hybrid",2626,919,17,0,0,0.34996191926885
