"year","institution","oa_type","value","pc"
2010,"University of Auckland","closed",2186,70.6985769728331
2010,"University of Auckland","gold",336,10.8667529107374
2010,"University of Auckland","hybrid",275,8.89391979301423
2010,"University of Auckland","green",178,5.75679172056921
2010,"University of Auckland","bronze",117,3.78395860284605
2010,"Auckland University of Technology","closed",437,73.3221476510067
2010,"Auckland University of Technology","gold",66,11.0738255033557
2010,"Auckland University of Technology","hybrid",60,10.0671140939597
2010,"Auckland University of Technology","green",21,3.52348993288591
2010,"Auckland University of Technology","bronze",12,2.01342281879195
2010,"University of Waikato","closed",490,68.1502086230876
2010,"University of Waikato","gold",128,17.8025034770515
2010,"University of Waikato","hybrid",47,6.53685674547983
2010,"University of Waikato","green",43,5.98052851182197
2010,"University of Waikato","bronze",11,1.52990264255911
2010,"Massey University","closed",1067,74.5111731843575
2010,"Massey University","gold",145,10.1256983240223
2010,"Massey University","hybrid",99,6.91340782122905
2010,"Massey University","green",70,4.88826815642458
2010,"Massey University","bronze",51,3.56145251396648
2010,"Victoria University of Wellington","closed",929,75.7748776508972
2010,"Victoria University of Wellington","gold",133,10.8482871125612
2010,"Victoria University of Wellington","hybrid",96,7.83034257748776
2010,"Victoria University of Wellington","green",49,3.99673735725938
2010,"Victoria University of Wellington","bronze",19,1.54975530179445
2010,"University of Canterbury","closed",817,68.713204373423
2010,"University of Canterbury","gold",171,14.3818334735072
2010,"University of Canterbury","hybrid",105,8.8309503784693
2010,"University of Canterbury","green",55,4.62573591253154
2010,"University of Canterbury","bronze",41,3.44827586206897
2010,"Lincoln University","closed",197,67.4657534246575
2010,"Lincoln University","gold",37,12.6712328767123
2010,"Lincoln University","hybrid",32,10.958904109589
2010,"Lincoln University","green",17,5.82191780821918
2010,"Lincoln University","bronze",9,3.08219178082192
2010,"University of Otago","closed",1450,66.574839302112
2010,"University of Otago","gold",299,13.7281910009183
2010,"University of Otago","hybrid",194,8.90725436179982
2010,"University of Otago","green",146,6.70339761248852
2010,"University of Otago","bronze",89,4.08631772268136
2010,"AgResearch","closed",198,59.4594594594595
2010,"AgResearch","gold",83,24.9249249249249
2010,"AgResearch","hybrid",19,5.70570570570571
2010,"AgResearch","green",18,5.40540540540541
2010,"AgResearch","bronze",15,4.5045045045045
2010,"ESR","closed",44,63.768115942029
2010,"ESR","gold",10,14.4927536231884
2010,"ESR","hybrid",8,11.5942028985507
2010,"ESR","green",6,8.69565217391304
2010,"ESR","bronze",1,1.44927536231884
2010,"GNS","closed",149,66.5178571428571
2010,"GNS","gold",38,16.9642857142857
2010,"GNS","hybrid",19,8.48214285714286
2010,"GNS","green",12,5.35714285714286
2010,"GNS","bronze",6,2.67857142857143
2010,"Landcare Research","closed",160,68.6695278969957
2010,"Landcare Research","gold",46,19.7424892703863
2010,"Landcare Research","hybrid",15,6.43776824034335
2010,"Landcare Research","green",10,4.29184549356223
2010,"Landcare Research","bronze",2,0.858369098712446
2010,"NIWA","closed",191,62.2149837133551
2010,"NIWA","gold",69,22.4755700325733
2010,"NIWA","hybrid",24,7.81758957654723
2010,"NIWA","green",21,6.84039087947883
2010,"NIWA","bronze",2,0.651465798045603
2010,"Plant & Food Research","closed",169,61.4545454545455
2010,"Plant & Food Research","gold",73,26.5454545454545
2010,"Plant & Food Research","hybrid",17,6.18181818181818
2010,"Plant & Food Research","green",9,3.27272727272727
2010,"Plant & Food Research","bronze",7,2.54545454545455
2010,"Scion","closed",74,73.2673267326733
2010,"Scion","gold",18,17.8217821782178
2010,"Scion","hybrid",5,4.95049504950495
2010,"Scion","green",3,2.97029702970297
2010,"Scion","bronze",1,0.99009900990099
2010,"Te Pūkenga","closed",0,NA
2010,"Te Pūkenga","gold",0,NA
2010,"Te Pūkenga","hybrid",0,NA
2010,"Te Pūkenga","green",0,NA
2010,"Te Pūkenga","bronze",0,NA
2010,"Cawthron Institute","closed",27,77.1428571428572
2010,"Cawthron Institute","gold",6,17.1428571428571
2010,"Cawthron Institute","hybrid",2,5.71428571428571
2010,"Cawthron Institute","green",0,0
2010,"Cawthron Institute","bronze",0,0
2010,"Malaghan Institute","closed",14,53.8461538461538
2010,"Malaghan Institute","gold",10,38.4615384615385
2010,"Malaghan Institute","hybrid",1,3.84615384615385
2010,"Malaghan Institute","green",1,3.84615384615385
2010,"Malaghan Institute","bronze",0,0
2011,"University of Auckland","closed",2652,73.2192159028161
2011,"University of Auckland","gold",356,9.82882385422418
2011,"University of Auckland","hybrid",273,7.5372722252899
2011,"University of Auckland","green",231,6.3776918829376
2011,"University of Auckland","bronze",110,3.03699613473219
2011,"Auckland University of Technology","closed",585,72.3114956736712
2011,"Auckland University of Technology","gold",93,11.495673671199
2011,"Auckland University of Technology","hybrid",74,9.14709517923362
2011,"Auckland University of Technology","green",44,5.43881334981459
2011,"Auckland University of Technology","bronze",13,1.60692212608158
2011,"University of Waikato","closed",586,67.8240740740741
2011,"University of Waikato","gold",146,16.8981481481481
2011,"University of Waikato","hybrid",62,7.17592592592593
2011,"University of Waikato","green",56,6.48148148148148
2011,"University of Waikato","bronze",14,1.62037037037037
2011,"Massey University","closed",1199,73.423147581139
2011,"Massey University","gold",179,10.9614206981017
2011,"Massey University","hybrid",99,6.06246172688304
2011,"Massey University","green",83,5.08266993263931
2011,"Massey University","bronze",73,4.47030006123699
2011,"Victoria University of Wellington","closed",1122,76.3784887678693
2011,"Victoria University of Wellington","gold",124,8.44111640571818
2011,"Victoria University of Wellington","hybrid",124,8.44111640571818
2011,"Victoria University of Wellington","green",70,4.76514635806671
2011,"Victoria University of Wellington","bronze",29,1.97413206262764
2011,"University of Canterbury","closed",961,67.963224893918
2011,"University of Canterbury","gold",200,14.1442715700141
2011,"University of Canterbury","hybrid",142,10.04243281471
2011,"University of Canterbury","green",67,4.73833097595474
2011,"University of Canterbury","bronze",44,3.11173974540311
2011,"Lincoln University","closed",244,73.4939759036145
2011,"Lincoln University","gold",35,10.5421686746988
2011,"Lincoln University","hybrid",26,7.83132530120482
2011,"Lincoln University","green",19,5.72289156626506
2011,"Lincoln University","bronze",8,2.40963855421687
2011,"University of Otago","closed",1619,64.8897795591182
2011,"University of Otago","gold",395,15.8316633266533
2011,"University of Otago","hybrid",198,7.93587174348697
2011,"University of Otago","green",178,7.13426853707415
2011,"University of Otago","bronze",105,4.20841683366733
2011,"AgResearch","closed",214,57.2192513368984
2011,"AgResearch","gold",80,21.3903743315508
2011,"AgResearch","hybrid",36,9.62566844919786
2011,"AgResearch","green",25,6.68449197860963
2011,"AgResearch","bronze",19,5.08021390374332
2011,"ESR","closed",36,60
2011,"ESR","gold",10,16.6666666666667
2011,"ESR","hybrid",8,13.3333333333333
2011,"ESR","green",4,6.66666666666667
2011,"ESR","bronze",2,3.33333333333333
2011,"GNS","closed",133,67.8571428571429
2011,"GNS","gold",30,15.3061224489796
2011,"GNS","hybrid",15,7.6530612244898
2011,"GNS","green",13,6.63265306122449
2011,"GNS","bronze",5,2.55102040816327
2011,"Landcare Research","closed",192,71.1111111111111
2011,"Landcare Research","gold",52,19.2592592592593
2011,"Landcare Research","hybrid",13,4.81481481481481
2011,"Landcare Research","green",8,2.96296296296296
2011,"Landcare Research","bronze",5,1.85185185185185
2011,"NIWA","closed",180,59.0163934426229
2011,"NIWA","gold",65,21.3114754098361
2011,"NIWA","hybrid",38,12.4590163934426
2011,"NIWA","green",16,5.24590163934426
2011,"NIWA","bronze",6,1.9672131147541
2011,"Plant & Food Research","closed",168,56.3758389261745
2011,"Plant & Food Research","gold",76,25.503355704698
2011,"Plant & Food Research","hybrid",23,7.71812080536913
2011,"Plant & Food Research","green",17,5.70469798657718
2011,"Plant & Food Research","bronze",14,4.69798657718121
2011,"Scion","closed",74,71.8446601941748
2011,"Scion","gold",15,14.5631067961165
2011,"Scion","hybrid",5,4.85436893203883
2011,"Scion","green",5,4.85436893203883
2011,"Scion","bronze",4,3.88349514563107
2011,"Te Pūkenga","closed",0,NA
2011,"Te Pūkenga","gold",0,NA
2011,"Te Pūkenga","hybrid",0,NA
2011,"Te Pūkenga","green",0,NA
2011,"Te Pūkenga","bronze",0,NA
2011,"Cawthron Institute","closed",36,73.469387755102
2011,"Cawthron Institute","gold",8,16.3265306122449
2011,"Cawthron Institute","hybrid",3,6.12244897959184
2011,"Cawthron Institute","green",2,4.08163265306122
2011,"Cawthron Institute","bronze",0,0
2011,"Malaghan Institute","closed",20,60.6060606060606
2011,"Malaghan Institute","gold",6,18.1818181818182
2011,"Malaghan Institute","hybrid",5,15.1515151515152
2011,"Malaghan Institute","green",1,3.03030303030303
2011,"Malaghan Institute","bronze",1,3.03030303030303
2012,"University of Auckland","closed",2504,68.4901531728665
2012,"University of Auckland","gold",395,10.8041575492341
2012,"University of Auckland","hybrid",322,8.80743982494529
2012,"University of Auckland","green",297,8.12363238512035
2012,"University of Auckland","bronze",138,3.7746170678337
2012,"Auckland University of Technology","closed",519,72.0833333333333
2012,"Auckland University of Technology","gold",90,12.5
2012,"Auckland University of Technology","hybrid",53,7.36111111111111
2012,"Auckland University of Technology","green",44,6.11111111111111
2012,"Auckland University of Technology","bronze",14,1.94444444444444
2012,"University of Waikato","closed",612,70.3448275862069
2012,"University of Waikato","gold",102,11.7241379310345
2012,"University of Waikato","hybrid",90,10.3448275862069
2012,"University of Waikato","green",48,5.51724137931035
2012,"University of Waikato","bronze",18,2.06896551724138
2012,"Massey University","closed",1082,73.7559645535106
2012,"Massey University","gold",151,10.2931152010907
2012,"Massey University","hybrid",96,6.5439672801636
2012,"Massey University","green",80,5.453306066803
2012,"Massey University","bronze",58,3.95364689843217
2012,"Victoria University of Wellington","closed",975,73.0884557721139
2012,"Victoria University of Wellington","gold",134,10.0449775112444
2012,"Victoria University of Wellington","hybrid",131,9.82008995502249
2012,"Victoria University of Wellington","green",73,5.47226386806597
2012,"Victoria University of Wellington","bronze",21,1.57421289355322
2012,"University of Canterbury","closed",922,65.8101356174161
2012,"University of Canterbury","gold",182,12.9907209136331
2012,"University of Canterbury","hybrid",166,11.8486795146324
2012,"University of Canterbury","green",96,6.85224839400428
2012,"University of Canterbury","bronze",35,2.49821556031406
2012,"Lincoln University","closed",222,62.5352112676056
2012,"Lincoln University","gold",57,16.056338028169
2012,"Lincoln University","hybrid",37,10.4225352112676
2012,"Lincoln University","green",23,6.47887323943662
2012,"Lincoln University","bronze",16,4.50704225352113
2012,"University of Otago","closed",1648,62.6854317230886
2012,"University of Otago","gold",422,16.0517306960822
2012,"University of Otago","hybrid",260,9.8896918980601
2012,"University of Otago","green",190,7.22708254089007
2012,"University of Otago","bronze",109,4.14606314187904
2012,"AgResearch","closed",205,59.7667638483965
2012,"AgResearch","gold",81,23.6151603498542
2012,"AgResearch","hybrid",26,7.5801749271137
2012,"AgResearch","green",23,6.70553935860058
2012,"AgResearch","bronze",8,2.33236151603499
2012,"ESR","closed",47,70.1492537313433
2012,"ESR","gold",8,11.9402985074627
2012,"ESR","hybrid",7,10.4477611940298
2012,"ESR","green",3,4.47761194029851
2012,"ESR","bronze",2,2.98507462686567
2012,"GNS","closed",160,67.7966101694915
2012,"GNS","gold",40,16.9491525423729
2012,"GNS","hybrid",19,8.05084745762712
2012,"GNS","green",11,4.66101694915254
2012,"GNS","bronze",6,2.54237288135593
2012,"Landcare Research","closed",186,72.0930232558139
2012,"Landcare Research","gold",36,13.953488372093
2012,"Landcare Research","hybrid",16,6.2015503875969
2012,"Landcare Research","green",12,4.65116279069767
2012,"Landcare Research","bronze",8,3.10077519379845
2012,"NIWA","closed",146,57.9365079365079
2012,"NIWA","gold",49,19.4444444444444
2012,"NIWA","hybrid",39,15.4761904761905
2012,"NIWA","green",10,3.96825396825397
2012,"NIWA","bronze",8,3.17460317460317
2012,"Plant & Food Research","closed",164,56.9444444444444
2012,"Plant & Food Research","gold",66,22.9166666666667
2012,"Plant & Food Research","hybrid",34,11.8055555555556
2012,"Plant & Food Research","green",16,5.55555555555556
2012,"Plant & Food Research","bronze",8,2.77777777777778
2012,"Scion","closed",46,63.8888888888889
2012,"Scion","gold",14,19.4444444444444
2012,"Scion","hybrid",5,6.94444444444444
2012,"Scion","green",4,5.55555555555556
2012,"Scion","bronze",3,4.16666666666667
2012,"Te Pūkenga","closed",0,NA
2012,"Te Pūkenga","gold",0,NA
2012,"Te Pūkenga","hybrid",0,NA
2012,"Te Pūkenga","green",0,NA
2012,"Te Pūkenga","bronze",0,NA
