"year","oa_type","value","pc"
2010,"closed",2186,17.7334306806198
2010,"gold",336,2.72572402044293
2010,"hybrid",275,2.23087531435061
2010,"green",178,1.44398474892512
2010,"bronze",117,0.949136042832806
2010,"closed",437,3.54506368134988
2010,"gold",66,0.535410075444147
2010,"hybrid",60,0.486736432221952
2010,"green",21,0.170357751277683
2010,"bronze",12,0.0973472864443904
2010,"closed",490,3.97501419647927
2010,"gold",128,1.03837105540683
2010,"hybrid",47,0.381276871907196
2010,"green",43,0.348827776425732
2010,"bronze",11,0.0892350125740245
2010,"closed",1067,8.65579621968038
2010,"gold",145,1.17627971120305
2010,"hybrid",99,0.803115113166221
2010,"green",70,0.56785917092561
2010,"bronze",51,0.413725967388659
2010,"closed",929,7.53630242556989
2010,"gold",133,1.07893242475866
2010,"hybrid",96,0.778778291555123
2010,"green",49,0.397501419647927
2010,"bronze",19,0.154133203536951
2010,"closed",817,6.62772775208891
2010,"gold",171,1.38719883183256
2010,"hybrid",105,0.851788756388416
2010,"green",55,0.446175062870123
2010,"bronze",41,0.332603228685
2010,"closed",197,1.59811795246208
2010,"gold",37,0.300154133203537
2010,"hybrid",32,0.259592763851708
2010,"green",17,0.13790865579622
2010,"bronze",9,0.0730104648332928
2010,"closed",1450,11.7627971120305
2010,"gold",299,2.42556988723939
2010,"hybrid",194,1.57378113085098
2010,"green",146,1.18439198507342
2010,"bronze",89,0.721992374462562
2010,"closed",198,1.60623022633244
2010,"gold",83,0.673318731240367
2010,"hybrid",19,0.154133203536951
2010,"green",18,0.146020929666586
2010,"bronze",15,0.121684108055488
2010,"closed",44,0.356940050296098
2010,"gold",10,0.0811227387036586
2010,"hybrid",8,0.0648981909629269
2010,"green",6,0.0486736432221952
2010,"bronze",1,0.00811227387036586
2010,"closed",149,1.20872880668451
2010,"gold",38,0.308266407073903
2010,"hybrid",19,0.154133203536951
2010,"green",12,0.0973472864443904
2010,"bronze",6,0.0486736432221952
2010,"closed",160,1.29796381925854
2010,"gold",46,0.37316459803683
2010,"hybrid",15,0.121684108055488
2010,"green",10,0.0811227387036586
2010,"bronze",2,0.0162245477407317
2010,"closed",191,1.54944430923988
2010,"gold",69,0.559746897055245
2010,"hybrid",24,0.194694572888781
2010,"green",21,0.170357751277683
2010,"bronze",2,0.0162245477407317
2010,"closed",169,1.37097428409183
2010,"gold",73,0.592195992536708
2010,"hybrid",17,0.13790865579622
2010,"green",9,0.0730104648332928
2010,"bronze",7,0.056785917092561
2010,"closed",74,0.600308266407074
2010,"gold",18,0.146020929666586
2010,"hybrid",5,0.0405613693518293
2010,"green",3,0.0243368216110976
2010,"bronze",1,0.00811227387036586
2010,"closed",0,0
2010,"gold",0,0
2010,"hybrid",0,0
2010,"green",0,0
2010,"bronze",0,0
2010,"closed",27,0.219031394499878
2010,"gold",6,0.0486736432221952
2010,"hybrid",2,0.0162245477407317
2010,"green",0,0
2010,"bronze",0,0
2010,"closed",14,0.113571834185122
2010,"gold",10,0.0811227387036586
2010,"hybrid",1,0.00811227387036586
2010,"green",1,0.00811227387036586
2010,"bronze",0,0
