"year","institution","oa_type","value","pc"
2010,"University of Melbourne","closed",4516,66.8442865600947
2010,"University of Melbourne","gold",955,14.1355831853168
2010,"University of Melbourne","hybrid",674,9.97631734754292
2010,"University of Melbourne","green",383,5.66903493191237
2010,"University of Melbourne","bronze",190,2.81231497927768
2010,"University of Melbourne","diamond",38,0.562462995855536
2010,"Australian National University","closed",2372,60.1725012683917
2010,"Australian National University","gold",827,20.9791983764586
2010,"Australian National University","hybrid",457,11.5930999492643
2010,"Australian National University","green",182,4.61694571283612
2010,"Australian National University","bronze",71,1.80111618467783
2010,"Australian National University","diamond",33,0.837138508371385
2010,"University of Sydney","closed",5096,68.4762160709487
2010,"University of Sydney","gold",1061,14.2569201827466
2010,"University of Sydney","hybrid",683,9.17764041924214
2010,"University of Sydney","green",371,4.98521902714324
2010,"University of Sydney","bronze",171,2.29776941682343
2010,"University of Sydney","diamond",60,0.806234883095942
2010,"University of Queensland","closed",4253,69.4027415143603
2010,"University of Queensland","gold",761,12.418407310705
2010,"University of Queensland","hybrid",600,9.7911227154047
2010,"University of Queensland","green",317,5.17297650130548
2010,"University of Queensland","bronze",158,2.57832898172324
2010,"University of Queensland","diamond",39,0.636422976501305
2010,"University of Western Australia","closed",2090,64.3472906403941
2010,"University of Western Australia","gold",568,17.487684729064
2010,"University of Western Australia","hybrid",317,9.75985221674877
2010,"University of Western Australia","green",167,5.14162561576355
2010,"University of Western Australia","bronze",83,2.55541871921182
2010,"University of Western Australia","diamond",23,0.708128078817734
2010,"University of Adelaide","closed",2031,68.7077131258457
2010,"University of Adelaide","gold",436,14.7496617050068
2010,"University of Adelaide","hybrid",259,8.76184032476319
2010,"University of Adelaide","green",139,4.70230040595399
2010,"University of Adelaide","bronze",75,2.53721244925575
2010,"University of Adelaide","diamond",16,0.54127198917456
2010,"Monash University","closed",3865,71.6802670623145
2010,"Monash University","gold",692,12.8338278931751
2010,"Monash University","hybrid",454,8.41988130563798
2010,"Monash University","green",240,4.45103857566766
2010,"Monash University","bronze",113,2.09569732937685
2010,"Monash University","diamond",28,0.519287833827893
2010,"UNSW Sydney","closed",3949,71.3846710050615
2010,"UNSW Sydney","gold",682,12.3282718727404
2010,"UNSW Sydney","hybrid",507,9.1648590021692
2010,"UNSW Sydney","green",242,4.37454808387563
2010,"UNSW Sydney","bronze",111,2.00650759219089
2010,"UNSW Sydney","diamond",41,0.741142443962401
2011,"University of Melbourne","closed",4692,61.7043661230931
2011,"University of Melbourne","gold",1290,16.964755391899
2011,"University of Melbourne","hybrid",791,10.4024197790637
2011,"University of Melbourne","green",531,6.98316675433982
2011,"University of Melbourne","bronze",244,3.20883745397159
2011,"University of Melbourne","diamond",56,0.736454497632825
2011,"Australian National University","closed",2376,56.9511025886865
2011,"Australian National University","gold",904,21.6682646212848
2011,"Australian National University","hybrid",586,14.046021093001
2011,"Australian National University","green",178,4.26653883029722
2011,"Australian National University","bronze",96,2.30105465004794
2011,"Australian National University","diamond",32,0.767018216682646
2011,"University of Sydney","closed",5329,65.4748740631527
2011,"University of Sydney","gold",1248,15.333579063767
2011,"University of Sydney","hybrid",762,9.36232952451161
2011,"University of Sydney","green",482,5.92210345251259
2011,"University of Sydney","bronze",259,3.18220911659909
2011,"University of Sydney","diamond",59,0.724904779456936
2011,"University of Queensland","closed",4504,66.4306784660767
2011,"University of Queensland","gold",872,12.8613569321534
2011,"University of Queensland","hybrid",622,9.1740412979351
2011,"University of Queensland","green",522,7.69911504424779
2011,"University of Queensland","bronze",214,3.15634218289086
2011,"University of Queensland","diamond",46,0.678466076696165
2011,"University of Western Australia","closed",2347,63.3639308855292
2011,"University of Western Australia","gold",673,18.1695464362851
2011,"University of Western Australia","hybrid",349,9.42224622030237
2011,"University of Western Australia","green",209,5.64254859611231
2011,"University of Western Australia","bronze",106,2.86177105831533
2011,"University of Western Australia","diamond",20,0.539956803455723
2011,"University of Adelaide","closed",2041,64.6909667194929
2011,"University of Adelaide","gold",489,15.4992076069731
2011,"University of Adelaide","hybrid",307,9.73058637083994
2011,"University of Adelaide","green",211,6.6877971473851
2011,"University of Adelaide","bronze",92,2.91600633914422
2011,"University of Adelaide","diamond",15,0.475435816164818
2011,"Monash University","closed",4765,70.812899390697
2011,"Monash University","gold",900,13.3749442710655
2011,"Monash University","hybrid",498,7.40080249665626
2011,"Monash University","green",365,5.42428295437658
2011,"Monash University","bronze",157,2.33318472284143
2011,"Monash University","diamond",44,0.653886164363204
2011,"UNSW Sydney","closed",4676,71.8610726909482
2011,"UNSW Sydney","gold",735,11.2955278930383
2011,"UNSW Sydney","hybrid",532,8.17581066543722
2011,"UNSW Sydney","green",345,5.30198248040572
2011,"UNSW Sydney","bronze",162,2.4896265560166
2011,"UNSW Sydney","diamond",57,0.875979714153988
2012,"University of Melbourne","closed",4693,58.48703888335
2012,"University of Melbourne","gold",1208,15.0548354935194
2012,"University of Melbourne","hybrid",956,11.9142572283151
2012,"University of Melbourne","green",751,9.35942173479561
2012,"University of Melbourne","bronze",336,4.18743768693918
2012,"University of Melbourne","diamond",80,0.997008973080758
2012,"Australian National University","closed",2475,57.0013818516813
2012,"Australian National University","gold",853,19.6453247351451
2012,"Australian National University","hybrid",595,13.7033625057577
2012,"Australian National University","green",245,5.64256103178259
2012,"Australian National University","bronze",107,2.46430216490097
2012,"Australian National University","diamond",67,1.54306771073238
2012,"University of Sydney","closed",5635,63.7299253562542
2012,"University of Sydney","gold",1351,15.2793485636734
2012,"University of Sydney","hybrid",824,9.31915856141145
2012,"University of Sydney","green",651,7.36258764985297
2012,"University of Sydney","bronze",305,3.44944582673603
2012,"University of Sydney","diamond",76,0.859534042071929
2012,"University of Queensland","closed",4707,63.291649858814
2012,"University of Queensland","gold",975,13.1101250504236
2012,"University of Queensland","hybrid",728,9.78889337098292
2012,"University of Queensland","green",703,9.45273631840796
2012,"University of Queensland","bronze",268,3.6036036036036
2012,"University of Queensland","diamond",56,0.752991797767917
2012,"University of Western Australia","closed",2539,60.5533031242547
2012,"University of Western Australia","gold",694,16.5513951824469
2012,"University of Western Australia","hybrid",439,10.4698306701646
2012,"University of Western Australia","green",357,8.51419031719533
2012,"University of Western Australia","bronze",150,3.57739088957787
2012,"University of Western Australia","diamond",14,0.333889816360601
2012,"University of Adelaide","closed",2324,62.0064034151548
2012,"University of Adelaide","gold",577,15.3948772678762
2012,"University of Adelaide","hybrid",380,10.1387406616862
2012,"University of Adelaide","green",287,7.65741728922092
2012,"University of Adelaide","bronze",151,4.02881536819637
2012,"University of Adelaide","diamond",29,0.773745997865528
2012,"Monash University","closed",4479,64.6040675032453
2012,"Monash University","gold",1130,16.2988605221405
2012,"Monash University","hybrid",579,8.3513630463003
2012,"Monash University","green",481,6.93783354968989
2012,"Monash University","bronze",218,3.14438194143949
2012,"Monash University","diamond",46,0.66349343718448
2012,"UNSW Sydney","closed",4570,66.8421822436741
2012,"UNSW Sydney","gold",798,11.6717858709961
2012,"UNSW Sydney","hybrid",639,9.34620447564721
2012,"UNSW Sydney","green",577,8.43937399444201
2012,"UNSW Sydney","bronze",176,2.57422846277607
2012,"UNSW Sydney","diamond",77,1.12622495246453
2013,"University of Melbourne","closed",4905,54.481839386871
2013,"University of Melbourne","gold",1454,16.1501721648339
2013,"University of Melbourne","hybrid",1288,14.3063423303343
2013,"University of Melbourne","green",963,10.6964345218261
2013,"University of Melbourne","bronze",329,3.65433744307453
2013,"University of Melbourne","diamond",64,0.710874153060091
2013,"Australian National University","closed",2679,55.6617494286308
2013,"Australian National University","gold",926,19.239559526283
2013,"Australian National University","hybrid",665,13.8167463120715
2013,"Australian National University","green",362,7.5212964886765
2013,"Australian National University","bronze",133,2.76334926241429
2013,"Australian National University","diamond",48,0.997298981923956
2013,"University of Sydney","closed",5808,59.8146240988671
2013,"University of Sydney","gold",1432,14.7476828012358
