"year","institution","oa_type","value","pc"
2010,"University of Auckland","closed",2160,70.4960835509138
2010,"University of Auckland","gold",340,11.0966057441253
2010,"University of Auckland","hybrid",275,8.97519582245431
2010,"University of Auckland","green",176,5.74412532637076
2010,"University of Auckland","bronze",113,3.68798955613577
2010,"Auckland University of Technology","closed",432,73.8461538461539
2010,"Auckland University of Technology","gold",67,11.4529914529915
2010,"Auckland University of Technology","hybrid",57,9.74358974358974
2010,"Auckland University of Technology","green",19,3.24786324786325
2010,"Auckland University of Technology","bronze",10,1.70940170940171
2010,"University of Waikato","closed",479,67.8470254957507
2010,"University of Waikato","gold",127,17.9886685552408
2010,"University of Waikato","hybrid",46,6.51558073654391
2010,"University of Waikato","green",43,6.09065155807365
2010,"University of Waikato","bronze",11,1.55807365439093
2010,"Massey University","closed",1068,74.5289602233077
2010,"Massey University","gold",143,9.97906489881368
2010,"Massey University","hybrid",103,7.18771807397069
2010,"Massey University","green",69,4.81507327285415
2010,"Massey University","bronze",50,3.48918353105373
2010,"Victoria University of Wellington","closed",914,75.4125412541254
2010,"Victoria University of Wellington","gold",136,11.2211221122112
2010,"Victoria University of Wellington","hybrid",94,7.75577557755776
2010,"Victoria University of Wellington","green",49,4.04290429042904
2010,"Victoria University of Wellington","bronze",19,1.56765676567657
2010,"University of Canterbury","closed",800,68.259385665529
2010,"University of Canterbury","gold",169,14.419795221843
2010,"University of Canterbury","hybrid",107,9.1296928327645
2010,"University of Canterbury","green",54,4.60750853242321
2010,"University of Canterbury","bronze",42,3.58361774744027
2010,"Lincoln University","closed",195,67.4740484429066
2010,"Lincoln University","gold",37,12.80276816609
2010,"Lincoln University","hybrid",31,10.7266435986159
2010,"Lincoln University","green",17,5.88235294117647
2010,"Lincoln University","bronze",9,3.11418685121107
2010,"University of Otago","closed",1425,66.2482566248257
2010,"University of Otago","gold",298,13.8540213854021
2010,"University of Otago","hybrid",191,8.87959088795909
2010,"University of Otago","green",145,6.74105067410507
2010,"University of Otago","bronze",92,4.27708042770804
2011,"University of Auckland","closed",2637,73.5154725397268
2011,"University of Auckland","gold",353,9.84109283523836
2011,"University of Auckland","hybrid",266,7.4156676888765
2011,"University of Auckland","green",223,6.21689434067466
2011,"University of Auckland","bronze",108,3.01087259548369
2011,"Auckland University of Technology","closed",570,72.6114649681529
2011,"Auckland University of Technology","gold",87,11.0828025477707
2011,"Auckland University of Technology","hybrid",70,8.9171974522293
2011,"Auckland University of Technology","green",45,5.73248407643312
2011,"Auckland University of Technology","bronze",13,1.65605095541401
2011,"University of Waikato","closed",571,67.6540284360189
2011,"University of Waikato","gold",143,16.9431279620853
2011,"University of Waikato","hybrid",58,6.87203791469194
2011,"University of Waikato","green",56,6.63507109004739
2011,"University of Waikato","bronze",16,1.8957345971564
2011,"Massey University","closed",1184,73.176761433869
2011,"Massey University","gold",179,11.0630407911001
2011,"Massey University","hybrid",101,6.24227441285538
2011,"Massey University","green",83,5.12978986402967
2011,"Massey University","bronze",71,4.38813349814586
2011,"Victoria University of Wellington","closed",1131,76.5223274695535
2011,"Victoria University of Wellington","gold",126,8.52503382949932
2011,"Victoria University of Wellington","hybrid",124,8.38971583220568
2011,"Victoria University of Wellington","green",69,4.66847090663058
2011,"Victoria University of Wellington","bronze",28,1.89445196211096
2011,"University of Canterbury","closed",952,68.5385169186465
2011,"University of Canterbury","gold",197,14.1828653707703
2011,"University of Canterbury","hybrid",131,9.43124550035997
2011,"University of Canterbury","green",67,4.82361411087113
2011,"University of Canterbury","bronze",42,3.02375809935205
2011,"Lincoln University","closed",242,72.8915662650602
2011,"Lincoln University","gold",38,11.4457831325301
2011,"Lincoln University","hybrid",26,7.83132530120482
2011,"Lincoln University","green",18,5.42168674698795
2011,"Lincoln University","bronze",8,2.40963855421687
2011,"University of Otago","closed",1618,64.823717948718
2011,"University of Otago","gold",393,15.7451923076923
2011,"University of Otago","hybrid",197,7.8926282051282
2011,"University of Otago","green",181,7.25160256410256
2011,"University of Otago","bronze",107,4.28685897435897
2012,"University of Auckland","closed",2518,68.7602403058438
2012,"University of Auckland","gold",394,10.7591480065538
2012,"University of Auckland","hybrid",320,8.73839432004369
2012,"University of Auckland","green",293,8.00109229929001
2012,"University of Auckland","bronze",137,3.74112506826871
2012,"Auckland University of Technology","closed",526,72.4517906336088
2012,"Auckland University of Technology","gold",89,12.2589531680441
2012,"Auckland University of Technology","hybrid",54,7.43801652892562
2012,"Auckland University of Technology","green",46,6.33608815426997
2012,"Auckland University of Technology","bronze",11,1.51515151515152
2012,"University of Waikato","closed",600,70.2576112412178
2012,"University of Waikato","gold",97,11.3583138173302
2012,"University of Waikato","hybrid",89,10.4215456674473
2012,"University of Waikato","green",48,5.62060889929742
2012,"University of Waikato","bronze",20,2.34192037470726
2012,"Massey University","closed",1098,74.1891891891892
2012,"Massey University","gold",148,10
2012,"Massey University","hybrid",96,6.48648648648649
2012,"Massey University","green",81,5.47297297297297
2012,"Massey University","bronze",57,3.85135135135135
2012,"Victoria University of Wellington","closed",988,73.2937685459941
2012,"Victoria University of Wellington","gold",136,10.0890207715134
2012,"Victoria University of Wellington","hybrid",133,9.86646884272997
2012,"Victoria University of Wellington","green",71,5.26706231454006
2012,"Victoria University of Wellington","bronze",20,1.48367952522255
2012,"University of Canterbury","closed",939,66.6430092264017
2012,"University of Canterbury","gold",179,12.7040454222853
2012,"University of Canterbury","hybrid",161,11.4265436479773
2012,"University of Canterbury","green",96,6.81334279630944
2012,"University of Canterbury","bronze",34,2.41305890702626
2012,"Lincoln University","closed",220,63.5838150289017
2012,"Lincoln University","gold",51,14.7398843930636
2012,"Lincoln University","hybrid",37,10.6936416184971
2012,"Lincoln University","green",22,6.35838150289017
2012,"Lincoln University","bronze",16,4.6242774566474
2012,"University of Otago","closed",1640,62.6193203512791
2012,"University of Otago","gold",424,16.1893852615502
2012,"University of Otago","hybrid",256,9.77472317678503
2012,"University of Otago","green",191,7.29285987017946
2012,"University of Otago","bronze",108,4.12371134020619
2013,"University of Auckland","closed",2726,66.1971830985916
2013,"University of Auckland","gold",467,11.3404565322972
2013,"University of Auckland","hybrid",410,9.95628946090335
2013,"University of Auckland","green",350,8.49927149101506
2013,"University of Auckland","bronze",165,4.00679941719281
2013,"Auckland University of Technology","closed",624,69.4877505567929
2013,"Auckland University of Technology","gold",105,11.6926503340757
2013,"Auckland University of Technology","hybrid",74,8.24053452115813
2013,"Auckland University of Technology","green",72,8.01781737193764
2013,"Auckland University of Technology","bronze",23,2.56124721603563
2013,"University of Waikato","closed",604,66.0831509846827
2013,"University of Waikato","gold",126,13.7855579868709
2013,"University of Waikato","hybrid",103,11.2691466083151
2013,"University of Waikato","green",57,6.2363238512035
2013,"University of Waikato","bronze",24,2.62582056892779
2013,"Massey University","closed",1034,69.1638795986622
2013,"Massey University","gold",167,11.1705685618729
2013,"Massey University","hybrid",143,9.56521739130435
2013,"Massey University","green",105,7.02341137123746
2013,"Massey University","bronze",46,3.07692307692308
2013,"Victoria University of Wellington","closed",1139,72.0886075949367
2013,"Victoria University of Wellington","gold",179,11.3291139240506
2013,"Victoria University of Wellington","hybrid",160,10.126582278481
2013,"Victoria University of Wellington","green",75,4.74683544303798
2013,"Victoria University of Wellington","bronze",27,1.70886075949367
2013,"University of Canterbury","closed",891,63.7795275590551
2013,"University of Canterbury","gold",196,14.0300644237652
2013,"University of Canterbury","hybrid",147,10.5225483178239
2013,"University of Canterbury","green",111,7.94559770937724
2013,"University of Canterbury","bronze",52,3.72226198997852
2013,"Lincoln University","closed",223,61.0958904109589
2013,"Lincoln University","gold",58,15.8904109589041
2013,"Lincoln University","hybrid",38,10.4109589041096
2013,"Lincoln University","green",33,9.04109589041096
2013,"Lincoln University","bronze",13,3.56164383561644
2013,"University of Otago","closed",1653,61.4041604754829
2013,"University of Otago","gold",373,13.8558692421991
2013,"University of Otago","hybrid",335,12.444279346211
2013,"University of Otago","green",213,7.91233283803863
2013,"University of Otago","bronze",118,4.38335809806835
2014,"University of Auckland","closed",2844,65.1695692025665
2014,"University of Auckland","gold",504,11.5490375802017
2014,"University of Auckland","hybrid",484,11.0907424381302
2014,"University of Auckland","green",369,8.45554537121907
2014,"University of Auckland","bronze",163,3.73510540788268
2014,"Auckland University of Technology","closed",528,61.3953488372093
2014,"Auckland University of Technology","gold",127,14.7674418604651
2014,"Auckland University of Technology","hybrid",100,11.6279069767442
2014,"Auckland University of Technology","green",81,9.41860465116279
2014,"Auckland University of Technology","bronze",24,2.7906976744186
2014,"University of Waikato","closed",565,62.708102108768
2014,"University of Waikato","gold",157,17.4250832408435
2014,"University of Waikato","hybrid",98,10.8768035516093
2014,"University of Waikato","green",62,6.88124306326304
2014,"University of Waikato","bronze",19,2.10876803551609
2014,"Massey University","closed",1028,66.1944623309723
2014,"Massey University","gold",173,11.1397295556986
2014,"Massey University","hybrid",154,9.91629104958145
2014,"Massey University","green",134,8.62846104314231
2014,"Massey University","bronze",64,4.12105602060528
2014,"Victoria University of Wellington","closed",1064,71.4093959731544
2014,"Victoria University of Wellington","gold",157,10.5369127516779
2014,"Victoria University of Wellington","hybrid",140,9.39597315436242
2014,"Victoria University of Wellington","green",103,6.91275167785235
2014,"Victoria University of Wellington","bronze",26,1.74496644295302
2014,"University of Canterbury","closed",899,65.3343023255814
2014,"University of Canterbury","gold",171,12.4273255813953
2014,"University of Canterbury","hybrid",146,10.6104651162791
2014,"University of Canterbury","green",109,7.92151162790698
2014,"University of Canterbury","bronze",51,3.70639534883721
2014,"Lincoln University","closed",209,60.7558139534884
2014,"Lincoln University","gold",64,18.6046511627907
2014,"Lincoln University","hybrid",35,10.1744186046512
2014,"Lincoln University","green",22,6.3953488372093
2014,"Lincoln University","bronze",14,4.06976744186047
2014,"University of Otago","closed",1750,60.9756097560976
2014,"University of Otago","gold",395,13.7630662020906
2014,"University of Otago","hybrid",384,13.3797909407666
2014,"University of Otago","green",213,7.42160278745645
