"institution_name","publication_year","oa_status","count","percent"
"Adelaide University",2021,"bronze",465,0.0877
"Adelaide University",2021,"closed",2520,0.4755
"Adelaide University",2021,"diamond",201,0.0379
"Adelaide University",2021,"gold",1199,0.2262
"Adelaide University",2021,"green",527,0.0994
"Adelaide University",2021,"hybrid",388,0.0732
"Adelaide University",2022,"bronze",249,0.0501
"Adelaide University",2022,"closed",2012,0.405
"Adelaide University",2022,"diamond",204,0.0411
"Adelaide University",2022,"gold",1246,0.2508
"Adelaide University",2022,"green",412,0.0829
"Adelaide University",2022,"hybrid",845,0.1701
"Adelaide University",2023,"bronze",420,0.0836
"Adelaide University",2023,"closed",1607,0.32
"Adelaide University",2023,"diamond",305,0.0607
"Adelaide University",2023,"gold",1103,0.2196
"Adelaide University",2023,"green",231,0.046
"Adelaide University",2023,"hybrid",1356,0.27
"Adelaide University",2024,"bronze",461,0.0894
"Adelaide University",2024,"closed",1513,0.2936
"Adelaide University",2024,"diamond",287,0.0557
"Adelaide University",2024,"gold",1080,0.2095
"Adelaide University",2024,"green",219,0.0425
"Adelaide University",2024,"hybrid",1594,0.3093
"Adelaide University",2025,"bronze",308,0.0582
"Adelaide University",2025,"closed",1586,0.2996
"Adelaide University",2025,"diamond",323,0.061
"Adelaide University",2025,"gold",1169,0.2208
"Adelaide University",2025,"green",225,0.0425
"Adelaide University",2025,"hybrid",1683,0.3179
"Adelaide University",2026,"bronze",68,0.0202
"Adelaide University",2026,"closed",967,0.2867
"Adelaide University",2026,"diamond",183,0.0543
"Adelaide University",2026,"gold",684,0.2028
"Adelaide University",2026,"green",301,0.0892
"Adelaide University",2026,"hybrid",1170,0.3469
"Auckland University of Technology",2021,"bronze",127,0.0679
"Auckland University of Technology",2021,"closed",911,0.4869
"Auckland University of Technology",2021,"diamond",172,0.0919
"Auckland University of Technology",2021,"gold",325,0.1737
"Auckland University of Technology",2021,"green",247,0.132
"Auckland University of Technology",2021,"hybrid",89,0.0476
"Auckland University of Technology",2022,"bronze",62,0.0351
"Auckland University of Technology",2022,"closed",663,0.3752
"Auckland University of Technology",2022,"diamond",213,0.1205
"Auckland University of Technology",2022,"gold",340,0.1924
"Auckland University of Technology",2022,"green",193,0.1092
"Auckland University of Technology",2022,"hybrid",296,0.1675
"Auckland University of Technology",2023,"bronze",148,0.0876
"Auckland University of Technology",2023,"closed",480,0.284
"Auckland University of Technology",2023,"diamond",166,0.0982
"Auckland University of Technology",2023,"gold",296,0.1751
"Auckland University of Technology",2023,"green",181,0.1071
"Auckland University of Technology",2023,"hybrid",419,0.2479
"Auckland University of Technology",2024,"bronze",119,0.0692
"Auckland University of Technology",2024,"closed",495,0.288
"Auckland University of Technology",2024,"diamond",176,0.1024
"Auckland University of Technology",2024,"gold",378,0.2199
"Auckland University of Technology",2024,"green",167,0.0971
"Auckland University of Technology",2024,"hybrid",384,0.2234
"Auckland University of Technology",2025,"bronze",85,0.0428
"Auckland University of Technology",2025,"closed",676,0.34
"Auckland University of Technology",2025,"diamond",168,0.0845
"Auckland University of Technology",2025,"gold",423,0.2128
"Auckland University of Technology",2025,"green",154,0.0775
"Auckland University of Technology",2025,"hybrid",482,0.2425
"Auckland University of Technology",2026,"bronze",29,0.026
"Auckland University of Technology",2026,"closed",286,0.2565
"Auckland University of Technology",2026,"diamond",107,0.096
"Auckland University of Technology",2026,"gold",236,0.2117
"Auckland University of Technology",2026,"green",63,0.0565
"Auckland University of Technology",2026,"hybrid",394,0.3534
"Australian National University",2021,"bronze",742,0.1203
"Australian National University",2021,"closed",2539,0.4116
"Australian National University",2021,"diamond",283,0.0459
"Australian National University",2021,"gold",995,0.1613
"Australian National University",2021,"green",1133,0.1837
"Australian National University",2021,"hybrid",477,0.0773
"Australian National University",2022,"bronze",392,0.0713
"Australian National University",2022,"closed",2175,0.3956
"Australian National University",2022,"diamond",352,0.064
"Australian National University",2022,"gold",1056,0.1921
"Australian National University",2022,"green",715,0.13
"Australian National University",2022,"hybrid",808,0.147
"Australian National University",2023,"bronze",402,0.0724
"Australian National University",2023,"closed",1839,0.3314
"Australian National University",2023,"diamond",395,0.0712
"Australian National University",2023,"gold",1028,0.1853
"Australian National University",2023,"green",509,0.0917
"Australian National University",2023,"hybrid",1376,0.248
"Australian National University",2024,"bronze",393,0.0713
"Australian National University",2024,"closed",1799,0.3262
"Australian National University",2024,"diamond",410,0.0743
"Australian National University",2024,"gold",1132,0.2053
"Australian National University",2024,"green",367,0.0665
"Australian National University",2024,"hybrid",1414,0.2564
"Australian National University",2025,"bronze",325,0.0597
"Australian National University",2025,"closed",1721,0.3164
"Australian National University",2025,"diamond",370,0.068
"Australian National University",2025,"gold",1144,0.2103
"Australian National University",2025,"green",318,0.0585
"Australian National University",2025,"hybrid",1562,0.2871
"Australian National University",2026,"bronze",58,0.0239
"Australian National University",2026,"closed",607,0.2505
"Australian National University",2026,"diamond",162,0.0669
"Australian National University",2026,"gold",570,0.2352
"Australian National University",2026,"green",206,0.085
"Australian National University",2026,"hybrid",820,0.3384
"Lincoln University",2021,"bronze",21,0.0391
"Lincoln University",2021,"closed",266,0.4953
"Lincoln University",2021,"diamond",27,0.0503
"Lincoln University",2021,"gold",134,0.2495
"Lincoln University",2021,"green",54,0.1006
"Lincoln University",2021,"hybrid",35,0.0652
"Lincoln University",2022,"bronze",11,0.0236
"Lincoln University",2022,"closed",177,0.379
"Lincoln University",2022,"diamond",19,0.0407
"Lincoln University",2022,"gold",156,0.334
"Lincoln University",2022,"green",30,0.0642
"Lincoln University",2022,"hybrid",74,0.1585
"Lincoln University",2023,"bronze",14,0.0291
"Lincoln University",2023,"closed",163,0.3389
"Lincoln University",2023,"diamond",30,0.0624
"Lincoln University",2023,"gold",113,0.2349
"Lincoln University",2023,"green",25,0.052
"Lincoln University",2023,"hybrid",136,0.2827
"Lincoln University",2024,"bronze",41,0.0838
"Lincoln University",2024,"closed",144,0.2945
"Lincoln University",2024,"diamond",29,0.0593
"Lincoln University",2024,"gold",118,0.2413
"Lincoln University",2024,"green",22,0.045
"Lincoln University",2024,"hybrid",135,0.2761
"Lincoln University",2025,"bronze",24,0.0525
"Lincoln University",2025,"closed",123,0.2691
"Lincoln University",2025,"diamond",18,0.0394
"Lincoln University",2025,"gold",124,0.2713
"Lincoln University",2025,"green",12,0.0263
"Lincoln University",2025,"hybrid",156,0.3414
"Lincoln University",2026,"bronze",5,0.0162
"Lincoln University",2026,"closed",85,0.2751
"Lincoln University",2026,"diamond",12,0.0388
"Lincoln University",2026,"gold",88,0.2848
"Lincoln University",2026,"green",5,0.0162
"Lincoln University",2026,"hybrid",114,0.3689
"Massey University",2021,"bronze",118,0.0541
"Massey University",2021,"closed",999,0.458
"Massey University",2021,"diamond",152,0.0697
"Massey University",2021,"gold",520,0.2384
"Massey University",2021,"green",258,0.1183
"Massey University",2021,"hybrid",134,0.0614
"Massey University",2022,"bronze",89,0.043
"Massey University",2022,"closed",804,0.388
"Massey University",2022,"diamond",165,0.0796
"Massey University",2022,"gold",542,0.2616
"Massey University",2022,"green",221,0.1067
"Massey University",2022,"hybrid",251,0.1211
"Massey University",2023,"bronze",95,0.0519
"Massey University",2023,"closed",560,0.306
"Massey University",2023,"diamond",167,0.0913
"Massey University",2023,"gold",405,0.2213
"Massey University",2023,"green",149,0.0814
"Massey University",2023,"hybrid",454,0.2481
"Massey University",2024,"bronze",180,0.1065
"Massey University",2024,"closed",512,0.303
"Massey University",2024,"diamond",142,0.084
"Massey University",2024,"gold",333,0.197
"Massey University",2024,"green",62,0.0367
"Massey University",2024,"hybrid",461,0.2728
"Massey University",2025,"bronze",136,0.0832
"Massey University",2025,"closed",529,0.3235
"Massey University",2025,"diamond",115,0.0703
"Massey University",2025,"gold",329,0.2012
"Massey University",2025,"green",49,0.03
"Massey University",2025,"hybrid",477,0.2917
"Massey University",2026,"bronze",21,0.0241
"Massey University",2026,"closed",246,0.2824
"Massey University",2026,"diamond",65,0.0746
"Massey University",2026,"gold",184,0.2113
"Massey University",2026,"green",49,0.0563
"Massey University",2026,"hybrid",306,0.3513
"Monash University",2021,"bronze",1326,0.1112
"Monash University",2021,"closed",4692,0.3936
"Monash University",2021,"diamond",487,0.0408
"Monash University",2021,"gold",2663,0.2234
"Monash University",2021,"green",1912,0.1604
"Monash University",2021,"hybrid",842,0.0706
"Monash University",2022,"bronze",674,0.0597
"Monash University",2022,"closed",4016,0.3556
"Monash University",2022,"diamond",509,0.0451
"Monash University",2022,"gold",2799,0.2478
"Monash University",2022,"green",1403,0.1242
"Monash University",2022,"hybrid",1894,0.1677
"Monash University",2023,"bronze",1077,0.0981
"Monash University",2023,"closed",2751,0.2507
"Monash University",2023,"diamond",634,0.0578
"Monash University",2023,"gold",2609,0.2377
"Monash University",2023,"green",775,0.0706
"Monash University",2023,"hybrid",3129,0.2851
"Monash University",2024,"bronze",1019,0.0936
"Monash University",2024,"closed",2672,0.2454
"Monash University",2024,"diamond",696,0.0639
"Monash University",2024,"gold",2499,0.2295
"Monash University",2024,"green",652,0.0599
"Monash University",2024,"hybrid",3352,0.3078
"Monash University",2025,"bronze",723,0.0636
"Monash University",2025,"closed",2948,0.2592
"Monash University",2025,"diamond",743,0.0653
"Monash University",2025,"gold",2602,0.2287
"Monash University",2025,"green",759,0.0667
"Monash University",2025,"hybrid",3600,0.3165
"Monash University",2026,"bronze",141,0.022
"Monash University",2026,"closed",1666,0.2601
"Monash University",2026,"diamond",393,0.0614
"Monash University",2026,"gold",1490,0.2326
"Monash University",2026,"green",671,0.1048
"Monash University",2026,"hybrid",2044,0.3191
"The University of Melbourne",2021,"bronze",1774,0.1277
"The University of Melbourne",2021,"closed",5065,0.3647
"The University of Melbourne",2021,"diamond",526,0.0379
"The University of Melbourne",2021,"gold",3501,0.2521
"The University of Melbourne",2021,"green",1878,0.1352
"The University of Melbourne",2021,"hybrid",1146,0.0825
"The University of Melbourne",2022,"bronze",804,0.0619
"The University of Melbourne",2022,"closed",4262,0.3284
"The University of Melbourne",2022,"diamond",592,0.0456
"The University of Melbourne",2022,"gold",3646,0.2809
"The University of Melbourne",2022,"green",1382,0.1065
"The University of Melbourne",2022,"hybrid",2293,0.1767
"The University of Melbourne",2023,"bronze",1224,0.0968
"The University of Melbourne",2023,"closed",3037,0.2402
"The University of Melbourne",2023,"diamond",757,0.0599
"The University of Melbourne",2023,"gold",3297,0.2608
"The University of Melbourne",2023,"green",832,0.0658
"The University of Melbourne",2023,"hybrid",3496,0.2765
"The University of Melbourne",2024,"bronze",1011,0.082
"The University of Melbourne",2024,"closed",2848,0.2311
"The University of Melbourne",2024,"diamond",793,0.0643
"The University of Melbourne",2024,"gold",3150,0.2556
"The University of Melbourne",2024,"green",757,0.0614
"The University of Melbourne",2024,"hybrid",3766,0.3056
"The University of Melbourne",2025,"bronze",716,0.0587
"The University of Melbourne",2025,"closed",3003,0.2461
"The University of Melbourne",2025,"diamond",834,0.0683
"The University of Melbourne",2025,"gold",3058,0.2506
"The University of Melbourne",2025,"green",687,0.0563
"The University of Melbourne",2025,"hybrid",3906,0.3201
"The University of Melbourne",2026,"bronze",147,0.0215
"The University of Melbourne",2026,"closed",1737,0.2539
"The University of Melbourne",2026,"diamond",421,0.0615
"The University of Melbourne",2026,"gold",1617,0.2363
"The University of Melbourne",2026,"green",710,0.1038
"The University of Melbourne",2026,"hybrid",2210,0.323
"The University of Queensland",2021,"bronze",1022,0.0901
"The University of Queensland",2021,"closed",4988,0.4396
"The University of Queensland",2021,"diamond",426,0.0375
"The University of Queensland",2021,"gold",2785,0.2455
"The University of Queensland",2021,"green",1331,0.1173
"The University of Queensland",2021,"hybrid",794,0.07
"The University of Queensland",2022,"bronze",649,0.0599
"The University of Queensland",2022,"closed",3937,0.3632
"The University of Queensland",2022,"diamond",501,0.0462
"The University of Queensland",2022,"gold",2822,0.2603
