"year","oa_type","value","pc"
2010,"closed",7167,70.9955423476969
2010,"gold",1072,10.6191183754334
2010,"hybrid",1000,9.90589400693413
2010,"green",531,5.26002971768202
2010,"bronze",325,3.21941555225359
2011,"closed",8464,71.2877958392992
2011,"gold",1247,10.5028215278363
2011,"hybrid",1077,9.0710014318201
2011,"green",718,6.04733428788006
2011,"bronze",367,3.09104691316432
2012,"closed",8012,68.6487875931797
2012,"gold",1367,11.7127923913975
2012,"hybrid",1015,8.69676977122783
2012,"green",898,7.69428497986462
2012,"bronze",379,3.24736526433039
2013,"closed",8457,66.4440603394092
2013,"gold",1460,11.4707730986801
2013,"hybrid",1232,9.67944688874922
2013,"green",1138,8.94091766184789
2013,"bronze",441,3.46480201131364
2014,"closed",8487,65.2093737994622
2014,"gold",1467,11.2716096811372
2014,"hybrid",1310,10.0653092585478
2014,"green",1292,9.92700729927007
2014,"bronze",459,3.52669996158279
2015,"closed",8402,61.8612869974967
2015,"gold",1650,12.1484317479016
2015,"hybrid",1543,11.360624355765
2015,"green",1406,10.3519363863938
2015,"bronze",581,4.27772051244294
2016,"closed",8730,60.8447170337329
2016,"gold",1691,11.7856147198216
2016,"hybrid",1606,11.1931976582102
2016,"green",1558,10.858656258712
2016,"bronze",763,5.31781432952328
2017,"closed",8939,58.321915573824
2017,"gold",2225,14.5168656619038
2017,"hybrid",1804,11.7700789456515
2017,"green",1520,9.91713968813205
2017,"bronze",839,5.47400013048868
2018,"closed",8442,55.7890563045202
2018,"gold",2406,15.9000793021412
2018,"hybrid",1933,12.7742532381708
2018,"green",1612,10.6529209621993
2018,"bronze",739,4.88369019296854
2019,"closed",8855,54.7551323274796
2019,"gold",2976,18.4021766015335
2019,"hybrid",2009,12.4227059114519
2019,"green",1435,8.87336136532278
2019,"bronze",897,5.54662379421222
2020,"closed",8775,48.5396614669764
2020,"gold",3502,19.3716119039717
2020,"hybrid",3135,17.3415200796548
2020,"green",1500,8.29737802854298
2020,"bronze",1166,6.44982852085408
2021,"closed",8663,47.2587420217119
2021,"gold",4034,22.0064371829142
2021,"hybrid",2748,14.9909988543997
2021,"green",1513,8.25377775353227
2021,"bronze",1373,7.49004418744204
2022,"closed",7278,44.0237115896443
2022,"gold",4125,24.9516090007259
2022,"hybrid",2566,15.5214130171788
2022,"green",1676,10.1379143479313
2022,"bronze",887,5.36535204451972
2023,"closed",5927,38.9985524411107
2023,"gold",4027,26.4969074878273
2023,"hybrid",3377,22.2200289511778
2023,"green",1273,8.37610211869983
2023,"bronze",594,3.90840900118437
