"institution","oa_type","value","pc"
"University of Auckland","closed",2372,42.3344636801713
"University of Auckland","gold",1322,23.594502944851
"University of Auckland","hybrid",1156,20.6318043905051
"University of Auckland","green",398,7.10333749776905
"University of Auckland","bronze",355,6.33589148670355
"Auckland University of Technology","closed",526,37.5178316690442
"Auckland University of Technology","gold",378,26.9614835948645
"Auckland University of Technology","hybrid",334,23.8231098430813
"Auckland University of Technology","green",88,6.27674750356633
"Auckland University of Technology","bronze",76,5.42082738944365
"University of Waikato","closed",518,45.8407079646018
"University of Waikato","gold",289,25.575221238938
"University of Waikato","hybrid",203,17.9646017699115
"University of Waikato","green",71,6.28318584070797
"University of Waikato","bronze",49,4.33628318584071
"Massey University","closed",688,37.289972899729
"Massey University","gold",514,27.8590785907859
"Massey University","hybrid",462,25.0406504065041
"Massey University","green",100,5.42005420054201
"Massey University","bronze",81,4.39024390243902
"Victoria University of Wellington","closed",764,42.4444444444444
"Victoria University of Wellington","gold",452,25.1111111111111
"Victoria University of Wellington","hybrid",294,16.3333333333333
"Victoria University of Wellington","green",149,8.27777777777778
"Victoria University of Wellington","bronze",141,7.83333333333333
"University of Canterbury","closed",624,35.8826912018401
"University of Canterbury","gold",490,28.1771132834963
"University of Canterbury","hybrid",364,20.9315698677401
"University of Canterbury","green",131,7.53306497987349
"University of Canterbury","bronze",130,7.47556066705003
"Lincoln University","closed",153,34.304932735426
"Lincoln University","gold",132,29.5964125560538
"Lincoln University","hybrid",117,26.2331838565022
"Lincoln University","green",29,6.50224215246637
"Lincoln University","bronze",15,3.36322869955157
"University of Otago","closed",1174,34.7440071026931
"University of Otago","gold",903,26.7238828055638
"University of Otago","hybrid",803,23.7644273453685
"University of Otago","green",250,7.39863865048831
"University of Otago","bronze",249,7.36904409588636
