"year","oa_type","value","pc"
2010,"closed",7809,70.155421794987
2010,"gold",1325,11.9036923906208
2010,"hybrid",1054,9.46905039978439
2010,"green",583,5.23762465187315
2010,"bronze",360,3.23421076273471
2011,"closed",9134,70.4349167180753
2011,"gold",1475,11.374151758174
2011,"hybrid",1131,8.72146822948797
2011,"green",799,6.16132017273288
2011,"bronze",429,3.30814312152992
2012,"closed",8603,68.0724798227568
2012,"gold",1559,12.3358126285805
2012,"hybrid",1060,8.38740307010603
2012,"green",990,7.8335179617028
2012,"bronze",426,3.37078651685393
2013,"closed",9043,65.7911967988359
2013,"gold",1638,11.9170607493634
2013,"hybrid",1301,9.46526009457985
2013,"green",1281,9.31975263732266
2013,"bronze",482,3.50672971989814
2014,"closed",9089,64.429006876019
2014,"gold",1673,11.85936060112
2014,"hybrid",1463,10.3707379315234
2014,"green",1368,9.69731339051535
2014,"bronze",514,3.64358120082229
2015,"closed",8958,61.2219792236195
2015,"gold",1816,12.4111536358666
2015,"hybrid",1716,11.7277200656096
2015,"green",1476,10.0874794969929
2015,"bronze",666,4.55166757791143
2016,"closed",9290,60.1800868044309
2016,"gold",1876,12.1526203277839
2016,"hybrid",1714,11.1031936257045
2016,"green",1692,10.960678888385
2016,"bronze",865,5.60342035369567
2017,"closed",9478,57.7785905876615
2017,"gold",2427,14.7951719092904
2017,"hybrid",1893,11.5398683247988
2017,"green",1663,10.1377712752987
2017,"bronze",943,5.7485979029505
2018,"closed",8957,55.2832983582274
2018,"gold",2624,16.1955314158746
2018,"hybrid",2036,12.5663498333539
2018,"green",1755,10.8319960498704
2018,"bronze",830,5.12282434267374
2019,"closed",9328,54.1035902789861
2019,"gold",3233,18.7518125398759
2019,"hybrid",2113,12.2556696247317
2019,"green",1551,8.99599791195406
2019,"bronze",1016,5.89292964445218
2020,"closed",9308,48.3934698970573
2020,"gold",3804,19.7774773837995
2020,"hybrid",3243,16.8607673910783
2020,"green",1570,8.16262867838203
2020,"bronze",1309,6.80565664968285
2021,"closed",9186,47.0040423681113
2021,"gold",4342,22.2176738474134
2021,"hybrid",2870,14.6855651639973
2021,"green",1689,8.64248068362073
2021,"bronze",1456,7.45023793685719
2022,"closed",7706,43.4312123090796
2022,"gold",4496,25.3395705348588
2022,"hybrid",2790,15.7245110747901
2022,"green",1769,9.97012906498337
2022,"bronze",982,5.53457701628811
2023,"closed",6348,38.9854449425781
2023,"gold",4281,26.2912239759258
2023,"hybrid",3701,22.7292268009581
2023,"green",1337,8.21101762574464
2023,"bronze",616,3.78308665479334
