"year","oa_type","value","pc"
2010,"closed",26353,69.2206666491555
2010,"gold",4607,12.1010743085288
2010,"hybrid",3871,10.1678442909301
2010,"green",2043,5.36628930156812
2010,"bronze",1197,3.14412544981745
2011,"closed",28423,66.838330393886
2011,"gold",5499,12.9312169312169
2011,"hybrid",4292,10.092886537331
2011,"green",2784,6.54673721340388
2011,"bronze",1527,3.59082892416226
2012,"closed",29380,64.0477851412627
2012,"gold",5887,12.8335367980467
2012,"hybrid",4761,10.3788803627485
2012,"green",3959,8.63053714684339
2012,"bronze",1885,4.10926055109871
2013,"closed",31060,61.2611191100767
2013,"gold",6519,12.8577345614485
2013,"hybrid",5779,11.3981972742155
2013,"green",5224,10.3035443087908
2013,"bronze",2119,4.17940474546853
2014,"closed",31336,59.248615023918
2014,"gold",6831,12.9157291686362
2014,"hybrid",6218,11.7566979901303
2014,"green",6022,11.3861105333812
2014,"bronze",2482,4.69284728393428
2015,"closed",31541,56.6978249146144
2015,"gold",7713,13.8648211396728
2015,"hybrid",7059,12.6891964767212
2015,"green",6444,11.583677871652
2015,"bronze",2873,5.16447959733956
2016,"closed",32125,54.5397439815286
2016,"gold",7957,13.508879155207
2016,"hybrid",7860,13.3441988387491
2016,"green",7566,12.8450646837119
2016,"bronze",3394,5.76211334080337
2017,"closed",31473,51.8304431599229
2017,"gold",9215,15.1754689326944
2017,"hybrid",8673,14.2828911615039
2017,"green",7907,13.0214251601535
2017,"bronze",3455,5.68977158572534
2018,"closed",31914,50.3311884935655
2018,"gold",10230,16.1336109008327
2018,"hybrid",9031,14.2426823113803
2018,"green",8337,13.1481831945496
2018,"bronze",3896,6.14433509967197
2019,"closed",33620,49.5892148620145
2019,"gold",12386,18.2692449518415
2019,"hybrid",9560,14.1009189197162
2019,"green",7994,11.7910822012773
2019,"bronze",4237,6.24953906515038
2020,"closed",32858,45.9565302525945
2020,"gold",14564,20.3698005538616
2020,"hybrid",10304,14.4115919326415
2020,"green",8395,11.7415871772637
2020,"bronze",5377,7.5204900836387
2021,"closed",33107,44.7863964719569
2021,"gold",17168,23.2244798571467
2021,"hybrid",10016,13.5494169530045
2021,"green",7505,10.1525932739915
2021,"bronze",6126,8.28711344390033
2022,"closed",28636,41.1957647600414
2022,"gold",17501,25.1769478651168
2022,"hybrid",10836,15.5886753366325
2022,"green",7675,11.0412590631833
2022,"bronze",4864,6.99735297502589
2023,"closed",24309,36.7266464216108
2023,"gold",17222,26.0194292102917
2023,"hybrid",15821,23.9027632990376
2023,"green",6500,9.82036290017979
2023,"bronze",2337,3.53079816888003
