"year","oa_type","value","pc"
2010,"closed",7062,70.8111902135767
2010,"gold",1067,10.6988869948862
2010,"hybrid",995,9.97693773187607
2010,"green",527,5.28426752231024
2010,"bronze",322,3.22871753735085
2011,"closed",8397,71.4759959141982
2011,"gold",1225,10.4273067756214
2011,"hybrid",1061,9.03132448076268
2011,"green",701,5.96697310180456
2011,"bronze",364,3.09839972761321
2012,"closed",8028,68.9335394126739
2012,"gold",1353,11.617722823287
2012,"hybrid",1000,8.58663918942126
2012,"green",890,7.64210887858492
2012,"bronze",375,3.21998969603297
2013,"closed",8395,66.5003168567807
2013,"gold",1455,11.5256653992395
2013,"hybrid",1204,9.53738910012674
2013,"green",1130,8.95120405576679
2013,"bronze",440,3.48542458808618
2014,"closed",8381,65.2268659039614
2014,"gold",1464,11.3938827924352
2014,"hybrid",1304,10.1486497003658
2014,"green",1252,9.74394894544322
2014,"bronze",448,3.48665265779438
2015,"closed",8387,61.9698537017881
2015,"gold",1650,12.1915176592286
2015,"hybrid",1551,11.4600265996749
2015,"green",1372,10.1374316536131
2015,"bronze",574,4.24117038569529
2016,"closed",8691,60.8869272803699
2016,"gold",1687,11.818691326888
2016,"hybrid",1578,11.0550651534258
2016,"green",1570,10.9990191957405
2016,"bronze",748,5.24029704357573
2017,"closed",8944,58.4231497811745
2017,"gold",2225,14.5339342870207
2017,"hybrid",1778,11.6140832190215
2017,"green",1537,10.039845842315
2017,"bronze",825,5.38898687046835
2018,"closed",8370,55.8111622324465
2018,"gold",2402,16.0165366406615
2018,"hybrid",1867,12.4491564979663
2018,"green",1626,10.8421684336867
2018,"bronze",732,4.88097619523905
2019,"closed",8785,54.9440240165113
2019,"gold",2976,18.6127962974545
2019,"hybrid",1905,11.9144411783101
2019,"green",1446,9.04371755581963
2019,"bronze",877,5.48502095190443
2020,"closed",8719,49.0658413055712
2020,"gold",3494,19.6623522791221
2020,"hybrid",2883,16.2239729881823
2020,"green",1502,8.45244794597637
2020,"bronze",1172,6.595385481148
2021,"closed",8620,47.8145107610384
2021,"gold",4043,22.4262258708675
2021,"hybrid",2534,14.0559130241846
2021,"green",1457,8.08187264255602
2021,"bronze",1374,7.62147770135345
2022,"closed",7188,43.9364303178484
2022,"gold",4154,25.3911980440098
2022,"hybrid",2631,16.0819070904645
2022,"green",1498,9.15647921760391
2022,"bronze",889,5.43398533007335
2023,"closed",5843,38.7107459917848
2023,"gold",4141,27.4347422817013
2023,"hybrid",3397,22.505631376706
2023,"green",1272,8.42718961176626
2023,"bronze",441,2.92169073804161
