"year","institution","abbrev","country","key","count","pc"
2015,"UNSW Sydney","UNSWS","au","closed",5484,62.6241863651936
2015,"UNSW Sydney","UNSWS","au","bronze",1005,11.4765330592669
2015,"UNSW Sydney","UNSWS","au","green",941,10.7456891629554
2015,"UNSW Sydney","UNSWS","au","gold",899,10.2660728560009
2015,"UNSW Sydney","UNSWS","au","hybrid",317,3.61996117391801
2015,"UNSW Sydney","UNSWS","au","diamond",111,1.2675573826653
2015,"The University of Melbourne","UM","au","closed",5270,54.3354985050005
2015,"The University of Melbourne","UM","au","bronze",1477,15.2283740591814
2015,"The University of Melbourne","UM","au","gold",1235,12.7332714712857
2015,"The University of Melbourne","UM","au","green",1128,11.63006495515
2015,"The University of Melbourne","UM","au","hybrid",458,4.72213630271162
2015,"The University of Melbourne","UM","au","diamond",131,1.35065470667079
2015,"The University of Sydney","US","au","closed",5635,58.1887649731516
2015,"The University of Sydney","US","au","bronze",1464,15.1177199504337
2015,"The University of Sydney","US","au","gold",1117,11.5344898802148
2015,"The University of Sydney","US","au","green",888,9.16976456009913
2015,"The University of Sydney","US","au","hybrid",406,4.19248244527055
2015,"The University of Sydney","US","au","diamond",174,1.79677819083024
2015,"The University of Queensland","UQ","au","closed",5476,60.5350431129781
2015,"The University of Queensland","UQ","au","gold",1120,12.381162944948
2015,"The University of Queensland","UQ","au","bronze",1100,12.1600707495025
2015,"The University of Queensland","UQ","au","green",918,10.1481317709485
2015,"The University of Queensland","UQ","au","hybrid",357,3.94649568870219
2015,"The University of Queensland","UQ","au","diamond",75,0.829095732920628
2015,"The University of Western Australia","UWA","au","closed",2492,51.275720164609
2015,"The University of Western Australia","UWA","au","bronze",790,16.2551440329218
2015,"The University of Western Australia","UWA","au","green",673,13.8477366255144
2015,"The University of Western Australia","UWA","au","gold",611,12.5720164609053
2015,"The University of Western Australia","UWA","au","hybrid",224,4.60905349794239
2015,"The University of Western Australia","UWA","au","diamond",70,1.440329218107
2015,"Monash University","MAU","au","closed",4868,59.8549120865609
2015,"Monash University","MAU","au","bronze",1168,14.3612443132915
2015,"Monash University","MAU","au","gold",872,10.72175089143
2015,"Monash University","MAU","au","green",807,9.9225378089266
2015,"Monash University","MAU","au","hybrid",321,3.94688306897824
2015,"Monash University","MAU","au","diamond",97,1.19267183081274
2015,"The University of Adelaide","UA","au","closed",2750,60.4395604395604
2015,"The University of Adelaide","UA","au","bronze",644,14.1538461538462
2015,"The University of Adelaide","UA","au","gold",464,10.1978021978022
2015,"The University of Adelaide","UA","au","green",435,9.56043956043956
2015,"The University of Adelaide","UA","au","hybrid",185,4.06593406593407
2015,"The University of Adelaide","UA","au","diamond",72,1.58241758241758
2015,"Australian National University","ANU","au","closed",2943,54.9682480388495
2015,"Australian National University","ANU","au","bronze",829,15.4837504669406
2015,"Australian National University","ANU","au","green",764,14.2697048935375
2015,"Australian National University","ANU","au","gold",515,9.6189764661935
2015,"Australian National University","ANU","au","hybrid",200,3.73552484124019
2015,"Australian National University","ANU","au","diamond",103,1.9237952932387
2015,"University of Auckland","UOA","nz","closed",2764,63.8927415626445
2015,"University of Auckland","UOA","nz","bronze",494,11.419325011558
2015,"University of Auckland","UOA","nz","gold",459,10.6102635228849
2015,"University of Auckland","UOA","nz","green",411,9.50069348127601
2015,"University of Auckland","UOA","nz","hybrid",125,2.88950531668978
2015,"University of Auckland","UOA","nz","diamond",73,1.68747110494683
2015,"University of Otago","UO","nz","closed",1724,59.5509499136442
2015,"University of Otago","UO","nz","bronze",437,15.0949913644214
2015,"University of Otago","UO","nz","gold",364,12.573402417962
2015,"University of Otago","UO","nz","green",206,7.11571675302245
2015,"University of Otago","UO","nz","hybrid",116,4.00690846286701
2015,"University of Otago","UO","nz","diamond",48,1.6580310880829
2015,"Victoria University of Wellington","VUW","nz","closed",1240,66.3101604278075
2015,"Victoria University of Wellington","VUW","nz","green",208,11.1229946524064
2015,"Victoria University of Wellington","VUW","nz","bronze",206,11.0160427807487
2015,"Victoria University of Wellington","VUW","nz","gold",135,7.2192513368984
2015,"Victoria University of Wellington","VUW","nz","hybrid",53,2.83422459893048
2015,"Victoria University of Wellington","VUW","nz","diamond",28,1.49732620320856
2015,"Massey University","MU","nz","closed",1051,63.8517618469016
2015,"Massey University","MU","nz","bronze",176,10.6925880923451
2015,"Massey University","MU","nz","green",166,10.0850546780073
2015,"Massey University","MU","nz","gold",164,9.96354799513973
2015,"Massey University","MU","nz","hybrid",62,3.76670716889429
2015,"Massey University","MU","nz","diamond",27,1.64034021871203
2015,"University of Canterbury","UC","nz","closed",861,61.3684960798289
2015,"University of Canterbury","UC","nz","green",179,12.7583749109052
2015,"University of Canterbury","UC","nz","bronze",144,10.263720598717
2015,"University of Canterbury","UC","nz","gold",138,9.83606557377049
2015,"University of Canterbury","UC","nz","hybrid",54,3.84889522451889
2015,"University of Canterbury","UC","nz","diamond",27,1.92444761225944
2015,"Auckland University of Technology","AUT","nz","closed",690,64.6672914714152
2015,"Auckland University of Technology","AUT","nz","green",135,12.6522961574508
2015,"Auckland University of Technology","AUT","nz","gold",110,10.3092783505155
2015,"Auckland University of Technology","AUT","nz","bronze",79,7.40393626991565
2015,"Auckland University of Technology","AUT","nz","hybrid",27,2.53045923149016
2015,"Auckland University of Technology","AUT","nz","diamond",26,2.43673851921275
2015,"University of Waikato","UOW","nz","closed",626,60.0191754554171
2015,"University of Waikato","UOW","nz","green",185,17.7372962607862
2015,"University of Waikato","UOW","nz","bronze",85,8.14956855225311
2015,"University of Waikato","UOW","nz","gold",63,6.04026845637584
2015,"University of Waikato","UOW","nz","diamond",53,5.08149568552253
2015,"University of Waikato","UOW","nz","hybrid",31,2.97219558964525
2015,"Lincoln University","LU","nz","closed",194,55.5873925501433
2015,"Lincoln University","LU","nz","bronze",55,15.7593123209169
2015,"Lincoln University","LU","nz","gold",48,13.7535816618911
2015,"Lincoln University","LU","nz","green",32,9.16905444126074
2015,"Lincoln University","LU","nz","hybrid",16,4.58452722063037
2015,"Lincoln University","LU","nz","diamond",4,1.14613180515759
