"publication_year","institution","abbrev","country_code","oa_status","n","pc"
2015,"Auckland University of Technology","AUT","NZ","bronze",79,0.0740393626991565
2015,"Auckland University of Technology","AUT","NZ","closed",689,0.645735707591378
2015,"Auckland University of Technology","AUT","NZ","diamond",26,0.0243673851921275
2015,"Auckland University of Technology","AUT","NZ","gold",110,0.103092783505155
2015,"Auckland University of Technology","AUT","NZ","green",136,0.127460168697282
2015,"Auckland University of Technology","AUT","NZ","hybrid",27,0.0253045923149016
2015,"Australian National University","ANU","AU","bronze",828,0.154592979835698
2015,"Australian National University","ANU","AU","closed",2923,0.545743091859597
2015,"Australian National University","ANU","AU","diamond",103,0.0192307692307692
2015,"Australian National University","ANU","AU","gold",515,0.0961538461538462
2015,"Australian National University","ANU","AU","green",787,0.146938013442868
2015,"Australian National University","ANU","AU","hybrid",200,0.0373412994772218
2015,"Lincoln University","LU","NZ","bronze",55,0.157593123209169
2015,"Lincoln University","LU","NZ","closed",194,0.555873925501433
2015,"Lincoln University","LU","NZ","diamond",4,0.0114613180515759
2015,"Lincoln University","LU","NZ","gold",48,0.137535816618911
2015,"Lincoln University","LU","NZ","green",32,0.0916905444126074
2015,"Lincoln University","LU","NZ","hybrid",16,0.0458452722063037
2015,"Massey University","MU","NZ","bronze",176,0.106860959319976
2015,"Massey University","MU","NZ","closed",1052,0.638737097753491
2015,"Massey University","MU","NZ","diamond",27,0.0163934426229508
2015,"Massey University","MU","NZ","gold",164,0.0995749848208865
2015,"Massey University","MU","NZ","green",166,0.100789313904068
2015,"Massey University","MU","NZ","hybrid",62,0.0376442015786278
2015,"Monash University","MAU","AU","bronze",1167,0.143383708072245
2015,"Monash University","MAU","AU","closed",4866,0.597862145226686
2015,"Monash University","MAU","AU","diamond",97,0.0119179260351395
2015,"Monash University","MAU","AU","gold",872,0.107138469099398
2015,"Monash University","MAU","AU","green",815,0.100135151738543
2015,"Monash University","MAU","AU","hybrid",322,0.0395625998279887
2015,"The University of Adelaide","UA","AU","bronze",643,0.141287629092507
2015,"The University of Adelaide","UA","AU","closed",2750,0.604262799384751
2015,"The University of Adelaide","UA","AU","diamond",72,0.015820698747528
2015,"The University of Adelaide","UA","AU","gold",464,0.101955614150736
2015,"The University of Adelaide","UA","AU","green",437,0.0960228521204131
2015,"The University of Adelaide","UA","AU","hybrid",185,0.040650406504065
2015,"The University of Melbourne","UM","AU","bronze",1477,0.151829769736842
2015,"The University of Melbourne","UM","AU","closed",5283,0.543071546052632
2015,"The University of Melbourne","UM","AU","diamond",131,0.0134662828947368
2015,"The University of Melbourne","UM","AU","gold",1236,0.127055921052632
2015,"The University of Melbourne","UM","AU","green",1140,0.1171875
2015,"The University of Melbourne","UM","AU","hybrid",461,0.0473889802631579
2015,"The University of Queensland","UQ","AU","bronze",1097,0.12125566486128
2015,"The University of Queensland","UQ","AU","closed",5464,0.60395711285509
2015,"The University of Queensland","UQ","AU","diamond",75,0.0082900408975351
2015,"The University of Queensland","UQ","AU","gold",1121,0.123908477948491
2015,"The University of Queensland","UQ","AU","green",931,0.102907041008069
2015,"The University of Queensland","UQ","AU","hybrid",359,0.0396816624295347
2015,"The University of Sydney","US","AU","bronze",1463,0.150995974816803
2015,"The University of Sydney","US","AU","closed",5625,0.580555268861596
2015,"The University of Sydney","US","AU","diamond",174,0.0179585096501187
2015,"The University of Sydney","US","AU","gold",1117,0.115285375167716
2015,"The University of Sydney","US","AU","green",903,0.0931984724945815
2015,"The University of Sydney","US","AU","hybrid",407,0.0420063990091857
2015,"The University of Western Australia","UWA","AU","bronze",789,0.162212171052632
2015,"The University of Western Australia","UWA","AU","closed",2488,0.511513157894737
2015,"The University of Western Australia","UWA","AU","diamond",70,0.0143914473684211
2015,"The University of Western Australia","UWA","AU","gold",612,0.125822368421053
2015,"The University of Western Australia","UWA","AU","green",680,0.139802631578947
2015,"The University of Western Australia","UWA","AU","hybrid",225,0.0462582236842105
2015,"UNSW Sydney","UNSWS","AU","bronze",1005,0.114712932313663
2015,"UNSW Sydney","UNSWS","AU","closed",5477,0.62515694555416
2015,"UNSW Sydney","UNSWS","AU","diamond",111,0.0126697865540463
2015,"UNSW Sydney","UNSWS","AU","gold",900,0.102727999086862
2015,"UNSW Sydney","UNSWS","AU","green",950,0.108435110147243
2015,"UNSW Sydney","UNSWS","AU","hybrid",318,0.0362972263440247
2015,"University of Auckland","UOA","NZ","bronze",494,0.11419325011558
2015,"University of Auckland","UOA","NZ","closed",2759,0.637771613499769
2015,"University of Auckland","UOA","NZ","diamond",73,0.0168747110494683
2015,"University of Auckland","UOA","NZ","gold",459,0.106102635228849
2015,"University of Auckland","UOA","NZ","green",416,0.096162736939436
2015,"University of Auckland","UOA","NZ","hybrid",125,0.0288950531668978
2015,"University of Canterbury","UC","NZ","bronze",144,0.102418207681366
2015,"University of Canterbury","UC","NZ","closed",859,0.610953058321479
2015,"University of Canterbury","UC","NZ","diamond",27,0.019203413940256
2015,"University of Canterbury","UC","NZ","gold",138,0.0981507823613087
2015,"University of Canterbury","UC","NZ","green",184,0.130867709815078
2015,"University of Canterbury","UC","NZ","hybrid",54,0.0384068278805121
2015,"University of Otago","UO","NZ","bronze",438,0.151086581579855
